Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,R,G,B
1.4289,0,0,0,0,0,0,0,0,0,0,0,0,1.83391,-2.88855,1.59515,-0.305544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.4678,0,0,0,0,0,0,0,0,0.3,5.72393E-14,-0.279642,-1.31095E-13,-0.964175,1.93025,-1.1963,0.244592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
