Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,R,G,B
0.763148,0,0,0,0,0,0,0,0,0,0,0,0,5.65312,-16.0546,16.2137,-5.73517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
0.808153,0,0,0,0,0,0,0,0,0.1,0.0736575,-0.285169,-0.204788,-0.961302,4.16137,-4.45368,1.5594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24139,0,0,0,0,0,0,0,0,0,-0.11348,0.208244,0.132647,1.31023,-2.83784,1.90824,-0.432044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.18039,0,0,0,0,0,0,0,0,0.2,0.0319135,-0.243431,0.00614758,-1.08591,2.41805,-1.72606,0.415717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.43869,0,0,0,0,0,0,0,0,0,-0.0503566,0.210978,0.0410116,1.07389,-1.95659,1.14607,-0.226553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.43869,0,0,0,0,0,0,0,0,0.3,0.0117813,-0.213896,0.00835206,-0.987261,1.7709,-1.03936,0.206303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60746,0,0,0,0,0,0,0,0,0,-0.00865922,0.20667,0.0148349,1.00006,-1.62002,0.855412,-0.152516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.56826,0,0,0,0,0,0,0,0,0.4,-0.0299943,-0.210458,0.00452375,-0.866715,1.44086,-0.779865,0.142452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.738,0,0,0,0,0,0,0,0,0,-0.00392161,0.214052,0.0036485,1.03021,-1.54635,0.764627,-0.127572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.738,0,0,0,0,0,0,0,0,0.5,0.000885661,-0.110733,-0.000281424,-1.32484,1.85743,-0.888799,0.145378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.15177,0,0,0,0,0,0,0,0,0,0.0113526,0.15835,0.000718857,0.521211,-0.627571,0.249571,-0.0335293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.97049,0,0,0,0,0,0,0,0,0.6,-0.0165022,-0.108069,0.000804776,-0.789803,0.959197,-0.397053,0.0563566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.02557,0,0,0,0,0,0,0,0,0,0.0215027,0.252616,-0.000250081,0.654357,-0.871275,0.374513,-0.0539757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.05546,0,0,0,0,0,0,0,0,0.7,-0.0150982,-0.131793,0.00145713,-0.753238,0.882471,-0.350938,0.0477934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1707,0,0,0,0,0,0,0,0,0,0.0319998,0.279029,-0.00100339,0.525214,-0.672998,0.273539,-0.0370631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.1707,0,0,0,0,0,0,0,0,0.8,-0.0365645,-0.127357,0.00325497,-0.642606,0.706466,-0.263979,0.0338283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
