distance,exp_time,true_time,color_time
0.1,0.760047,1,0.8
0.2,1.23533,1.2,1.3
0.3,1.54381,1.4,1.6
0.4,1.68981,1.6,1.7
0.5,1.78039,1.8,1.8
0.6,1.97292,1.9,2
0.7,2.05546,2.1,2.1
0.8,2.19671,2.1,2.2
0.9,2.32208,2.4,2.4
1,2.38778,2.2,2.4
1.1,2.45992,2.7,2.5
1.2,2.52757,2.4,2.6
0.6,1.89112,2.1,1.9
