distance,exp_time,true_time,color_time
0.1,0.763148,0.9,0.8
0.1,0.808153,0.9,0.9
0.2,1.24139,1.1,1.3
0.2,1.18039,1.1,1.2
0.3,1.43869,1.3,1.5
0.3,1.40016,1.6,1.5
0.4,1.64667,1.5,1.7
0.4,1.60746,1.7,1.7
0.5,1.738,1.7,1.8
0.5,1.78039,1.8,1.8
0.6,1.88003,1.9,1.9
0.6,1.98678,1.9,2
0.7,2.02557,2,2.1
0.7,2.04336,2.1,2.1
0.8,2.19671,2.1,2.2
0.8,2.18081,2.3,2.2
0.9,2.32208,2.1,2.4
0.9,2.37167,2.5,2.4
1,2.58456,2.3,2.6
1,2.42699,2.8,2.5
